well id,day,median pixel intensity,mw_area shape,hyst1 area,hyst2 area
0,0,125.0,9200,807,420
1,0,122.0,33124,13838,13511
2,0,123.0,9555,1342,1287
3,0,124.0,8463,1447,1385
4,0,124.0,8556,1261,969
5,0,124.0,8272,1419,1179
6,0,125.0,9393,875,556
7,0,124.0,8544,330,0
8,0,125.0,8370,48,0
9,0,125.0,8366,71,0
10,0,125.0,8366,414,300
11,0,125.0,8448,92,0
12,0,124.0,8280,7,0
13,0,123.0,8370,45,0
14,0,124.0,8366,55,0
15,0,124.0,8640,480,330
16,0,124.0,8550,61,0
17,0,124.0,8448,288,130
18,0,124.0,8463,58,0
19,0,125.0,8370,126,92
20,0,125.0,8633,31,0
21,0,122.0,8280,661,576
22,0,122.0,8277,18,0
23,0,122.0,8188,13,0
24,0,122.0,8554,13,0
25,0,123.0,9312,108,0
26,0,124.0,10100,88,0
27,0,124.0,33124,14061,13765
28,0,124.0,8648,524,370
29,0,125.0,8463,115,0
30,0,125.0,8722,32,0
31,0,125.0,9600,146,0
32,0,124.0,8554,33,0
33,0,124.0,8554,13,0
34,0,124.0,8554,47,0
35,0,124.0,8370,84,0
36,0,124.0,8550,136,102
37,0,125.0,8648,44,34
38,0,124.0,8184,67,0
39,0,124.0,8160,47,0
40,0,124.0,33124,13936,13512
41,0,123.0,8280,248,25
42,0,123.0,8188,77,0
43,0,122.0,8265,213,127
44,0,123.0,8455,39,0
45,0,123.0,8556,6,0
46,0,122.0,8178,9,0
47,0,123.0,8455,10,0
48,0,122.0,8640,66,0
49,0,123.0,33124,13630,13336
50,0,123.0,9360,28,0
51,0,123.0,11286,210,130
52,0,124.0,8835,80,0
53,0,124.0,8640,471,410
54,0,124.0,8648,28,0
55,0,124.0,8556,202,120
56,0,124.0,8930,16,0
57,0,125.0,8736,60,0
58,0,124.0,8464,35,0
59,0,125.0,8100,27,0
60,0,124.0,9568,684,523
61,0,122.0,8188,562,49
62,0,123.0,8190,353,25
63,0,123.0,8091,33,0
64,0,123.0,8272,4,0
65,0,123.0,8184,32,0
66,0,122.0,8372,33,0
67,0,123.0,8184,27,0
68,0,122.0,8544,1149,1094
69,0,123.0,8556,19,0
70,0,123.0,8556,66,0
71,0,121.0,9120,25,0
72,0,121.0,8460,17,0
73,0,122.0,8372,69,0
74,0,122.0,9476,114,0
75,0,122.0,9416,354,129
76,0,124.0,12320,1331,1035
77,0,124.0,8463,198,0
78,0,124.0,8648,206,0
79,0,125.0,8280,88,0
80,0,123.0,9672,728,605
81,0,122.0,8091,928,691
82,0,122.0,8281,594,144
83,0,123.0,8372,194,0
84,0,123.0,8463,12,0
85,0,123.0,8649,18,0
86,0,122.0,8099,60,0
87,0,123.0,8277,34,0
