well id,day,median pixel intensity,mw_area shape,hyst1 area,hyst2 area
208,0,133.0,6708,24,0
209,0,133.0,6715,0,0
210,0,134.0,5964,2,0
211,0,134.0,5740,1,0
212,0,132.0,5022,17,0
213,0,132.0,4592,0,0
214,0,132.0,33124,14364,14118
215,0,132.0,3542,5,0
216,0,130.0,6213,33,0
217,0,129.0,5772,275,259
218,0,129.0,33124,13235,13099
219,0,129.0,33124,6772,6587
220,0,132.0,6723,20,0
221,0,131.0,6320,411,401
222,0,132.0,6478,48,0
223,0,132.0,6480,40,0
224,0,133.0,6723,60,0
225,0,133.0,7905,22,0
226,0,132.0,9737,12,0
227,0,132.0,9765,38,0
228,0,132.0,7760,16,0
229,0,132.0,8848,821,796
230,0,133.0,5576,15,0
231,0,131.0,7200,54,0
232,0,131.0,6402,28,0
233,0,131.0,5568,33,0
234,0,130.0,4753,695,680
235,0,130.0,4508,5,0
236,0,129.0,4947,465,445
237,0,128.0,33124,13319,13111
238,0,128.0,33124,12819,12649
239,0,129.0,33124,6070,5867
240,0,132.0,6640,8,0
241,0,131.0,6399,7,0
242,0,132.0,8463,39,0
243,0,132.0,8550,27,0
244,0,133.0,8613,237,0
245,0,134.0,6708,3,0
246,0,132.0,9393,276,0
247,0,131.0,8730,87,0
248,0,132.0,6308,42,0
249,0,132.0,7350,102,0
250,0,131.0,6831,520,503
251,0,132.0,4560,21,0
252,0,132.0,924,195,189
253,0,131.0,5141,41,0
254,0,131.0,33124,13631,13454
255,0,131.0,33124,13266,13107
256,0,129.0,33124,13269,13085
257,0,128.0,33124,13311,13104
258,0,128.0,33124,13317,13112
259,0,129.0,33124,5715,5583
260,0,132.0,6720,48,0
261,0,133.0,6399,2,0
262,0,132.0,6400,7,0
263,0,133.0,33124,14597,14385
264,0,133.0,6396,19,0
265,0,133.0,6888,110,71
266,0,132.0,9603,83,0
267,0,132.0,8448,274,239
268,0,131.0,7821,42,0
269,0,132.0,6887,64,0
270,0,131.0,6208,53,0
271,0,132.0,33124,13509,13356
272,0,131.0,3600,4,0
273,0,132.0,1748,248,212
274,0,131.0,33124,13668,13418
275,0,131.0,33124,13467,13184
276,0,129.0,33124,13612,13421
277,0,129.0,4224,1801,1785
278,0,129.0,33124,13449,13309
279,0,130.0,33124,5642,5366
280,0,133.0,6642,25,0
281,0,133.0,7290,3,0
282,0,133.0,6320,15,0
283,0,133.0,6240,45,0
284,0,133.0,8928,386,325
285,0,134.0,6720,16,0
286,0,133.0,9306,143,0
287,0,132.0,6314,4,0
288,0,132.0,5530,7,0
289,0,132.0,6468,8,0
290,0,132.0,4266,4,0
291,0,132.0,33124,13771,13640
292,0,132.0,1407,210,209
293,0,131.0,33124,13900,13748
294,0,131.0,33124,14123,13754
295,0,132.0,3525,1170,1146
296,0,129.0,33124,14567,14313
297,0,128.0,33124,13367,13215
298,0,129.0,6174,2532,2467
299,0,130.0,33124,4486,4455
300,0,133.0,6552,39,0
301,0,133.0,7280,33,0
302,0,133.0,6318,16,0
303,0,133.0,6314,8,0
304,0,134.0,6786,10,0
305,0,134.0,6474,2,0
306,0,132.0,6375,6,0
307,0,131.0,7938,40,0
308,0,131.0,7128,23,0
309,0,132.0,6208,63,0
310,0,132.0,33124,12550,12409
311,0,131.0,33124,13220,13102
312,0,131.0,33124,14126,14028
313,0,131.0,33124,13520,13423
314,0,131.0,33124,13255,13140
315,0,131.0,5626,2091,2054
316,0,129.0,5044,1780,1733
317,0,129.0,5820,2394,2375
318,0,129.0,6887,2729,2707
319,0,130.0,33124,4100,4037
320,0,133.0,6552,18,0
321,0,133.0,7290,17,0
322,0,133.0,6396,30,0
323,0,133.0,8272,763,740
324,0,134.0,6375,21,0
325,0,134.0,6300,46,0
326,0,132.0,8330,774,618
327,0,131.0,7623,30,0
328,0,131.0,5135,16,0
329,0,131.0,5856,68,0
330,0,132.0,1886,200,202
331,0,132.0,2028,228,229
332,0,131.0,2730,0,0
333,0,132.0,4656,1640,1646
334,0,130.0,5432,2034,2022
335,0,131.0,6208,2343,2260
336,0,129.0,5820,1933,1935
