well id,day,median pixel intensity,mw_area shape,hyst1 area,hyst2 area
201,0,96.0,7980,14,0
202,0,95.0,8190,139,0
203,0,95.0,8550,149,91
204,0,94.0,8099,5,0
205,0,94.0,8178,0,0
206,0,94.0,8190,4,0
207,0,93.0,8188,7,0
208,0,92.0,33124,9034,8647
209,0,92.0,33124,9544,9499
210,0,91.0,8099,707,535
211,0,91.0,8091,65,0
212,0,91.0,8190,561,122
213,0,91.0,8448,0,0
214,0,91.0,8170,0,0
215,0,91.0,8184,529,205
216,0,91.0,8280,956,718
217,0,92.0,8370,33,0
218,0,92.0,8091,0,0
219,0,92.0,8370,2,0
220,0,96.0,8188,57,0
221,0,92.0,9991,404,308
222,0,95.0,33124,13189,12524
223,0,93.0,8170,7,0
224,0,94.0,8272,4,0
225,0,93.0,8096,35,0
226,0,92.0,33124,9642,9638
227,0,92.0,33124,9487,9575
228,0,92.0,8184,1,0
229,0,91.0,7912,0,0
230,0,92.0,8281,365,93
231,0,91.0,8010,318,290
232,0,91.0,8188,0,0
233,0,91.0,8096,152,0
234,0,91.0,8366,1307,792
235,0,91.0,8184,0,0
236,0,92.0,8184,589,178
237,0,92.0,8190,693,549
238,0,92.0,8099,0,0
239,0,92.0,8099,1,0
240,0,95.0,8366,213,171
241,0,94.0,33124,10081,9450
242,0,98.0,33124,8657,7368
243,0,87.0,8640,54,0
244,0,93.0,33124,8694,8855
245,0,92.0,9672,5,0
246,0,91.0,7920,310,217
247,0,92.0,7920,294,270
248,0,91.0,8272,0,0
249,0,91.0,8004,246,180
250,0,91.0,9870,87,0
251,0,91.0,8096,0,0
252,0,91.0,8372,368,281
253,0,91.0,8281,1,0
254,0,91.0,8184,0,0
255,0,91.0,8096,0,0
256,0,92.0,8188,8,0
257,0,92.0,8464,487,451
258,0,92.0,9898,14,0
259,0,91.0,7912,109,0
260,0,96.0,8280,225,209
261,0,96.0,8372,155,0
262,0,94.0,33124,17649,17257
263,0,91.0,33124,10207,10301
264,0,92.0,8008,0,0
265,0,92.0,8742,14,0
266,0,92.0,8091,329,298
267,0,92.0,8096,60,0
268,0,92.0,7826,141,109
269,0,92.0,8004,473,199
270,0,92.0,8645,357,0
271,0,91.0,33124,9678,9686
272,0,91.0,8360,473,236
273,0,92.0,8099,289,0
274,0,91.0,8190,282,98
275,0,92.0,8370,0,0
276,0,91.0,33124,10068,10062
277,0,90.0,33124,11637,11446
278,0,91.0,8099,8,0
279,0,92.0,7656,0,0
280,0,94.0,8265,0,0
281,0,90.0,33124,10424,10418
282,0,87.0,33124,9706,9756
283,0,92.0,7912,270,0
284,0,92.0,8372,4,0
285,0,92.0,9312,22,0
286,0,92.0,8008,0,0
287,0,92.0,7917,92,91
288,0,92.0,8265,118,93
289,0,92.0,8091,1,0
290,0,92.0,8277,0,0
291,0,92.0,33124,9379,9152
292,0,91.0,8277,216,0
293,0,91.0,8096,30,0
294,0,91.0,8004,14,0
295,0,91.0,9785,48,0
296,0,91.0,8460,1,0
297,0,91.0,8084,12,0
298,0,91.0,8008,4,0
299,0,92.0,7728,76,0
300,0,93.0,33124,8715,8714
301,0,93.0,8096,0,0
302,0,93.0,8096,401,331
303,0,93.0,7917,184,67
304,0,92.0,8008,4,0
305,0,92.0,7740,0,0
306,0,92.0,12096,1328,599
307,0,91.0,7912,53,0
308,0,91.0,7912,0,0
309,0,92.0,8372,202,0
310,0,91.0,8188,678,347
311,0,91.0,8280,0,0
312,0,91.0,9486,300,0
313,0,91.0,33124,10203,10051
314,0,90.0,8460,304,0
315,0,91.0,7905,0,0
316,0,91.0,8342,6,0
317,0,91.0,8280,1,0
318,0,92.0,8184,134,0
319,0,91.0,8170,462,34
320,0,94.0,8075,10,0
321,0,94.0,8096,262,0
322,0,93.0,8008,57,0
323,0,93.0,8004,44,0
324,0,92.0,8099,19,0
325,0,91.0,7740,164,0
326,0,91.0,7820,218,106
327,0,92.0,8004,0,0
328,0,92.0,8096,0,0
329,0,92.0,8272,213,0
330,0,92.0,8184,605,272
331,0,91.0,33124,8566,8581
332,0,91.0,33124,9715,9032
333,0,90.0,4225,1313,1299
334,0,91.0,8008,104,0
335,0,91.0,7912,248,83
336,0,91.0,8084,172,0
337,0,91.0,8099,0,0
338,0,91.0,8645,174,0
339,0,91.0,9579,1826,1411
340,0,94.0,8281,3,0
341,0,93.0,33124,9297,8808
342,0,92.0,33124,8539,8507
343,0,93.0,7826,1,0
344,0,93.0,8099,98,0
345,0,92.0,7905,1,0
346,0,92.0,8184,0,0
347,0,92.0,8722,1681,1475
348,0,92.0,8277,130,0
349,0,92.0,8460,0,0
350,0,91.0,9844,909,480
351,0,91.0,8184,770,305
352,0,92.0,8460,2,0
353,0,91.0,33124,8992,8834
354,0,91.0,7820,11,0
355,0,92.0,7921,510,335
356,0,91.0,7917,1,0
357,0,91.0,8084,465,274
358,0,91.0,8366,131,0
359,0,91.0,8526,687,292
360,0,94.0,8190,171,98
361,0,93.0,7820,13,0
362,0,92.0,33124,8784,8718
363,0,92.0,8184,0,0
364,0,92.0,8178,0,0
365,0,92.0,8091,0,0
366,0,92.0,8096,177,0
367,0,92.0,8448,363,0
368,0,91.0,33124,8749,8785
369,0,91.0,33124,9479,9455
370,0,92.0,8188,261,133
371,0,92.0,8170,2,0
372,0,92.0,8556,117,0
373,0,92.0,8256,0,0
374,0,92.0,33124,9897,9759
375,0,92.0,8184,35,0
376,0,92.0,8536,360,25
377,0,91.0,8265,364,34
378,0,92.0,8526,1434,824
379,0,92.0,8256,681,546
380,0,93.0,8277,16,0
381,0,93.0,8160,0,0
382,0,92.0,33124,8652,8381
383,0,92.0,8008,0,0
384,0,92.0,7917,0,0
385,0,92.0,7912,0,0
386,0,92.0,8010,83,0
387,0,91.0,33124,8324,8388
388,0,92.0,8280,5,0
389,0,92.0,8184,1,0
390,0,92.0,8178,42,0
391,0,92.0,8360,0,0
392,0,92.0,8366,3,0
393,0,92.0,8342,0,0
394,0,92.0,33124,9286,9180
395,0,92.0,8075,830,564
396,0,92.0,8352,1085,777
397,0,92.0,8460,1329,1307
398,0,92.0,8256,1691,1660
399,0,92.0,8455,1515,1485
400,0,93.0,8091,17,0
401,0,93.0,8352,4,0
402,0,92.0,8448,0,0
403,0,92.0,33124,8119,7805
404,0,91.0,33124,8969,8724
405,0,91.0,8091,2,0
406,0,92.0,8280,0,0
407,0,92.0,8096,238,204
408,0,92.0,8091,18,0
409,0,92.0,8366,173,0
410,0,92.0,8096,68,0
411,0,92.0,8455,126,0
412,0,92.0,8064,7,0
413,0,92.0,8372,161,0
414,0,93.0,8360,471,258
415,0,92.0,33124,9165,9160
416,0,91.0,8439,2647,2520
417,0,90.0,9898,2492,2397
418,0,90.0,8184,2212,2196
419,0,92.0,8188,2073,2037
420,0,93.0,8277,0,0
421,0,93.0,8272,0,0
422,0,92.0,33124,8757,8777
423,0,92.0,8366,9,0
424,0,92.0,33124,9464,9529
425,0,92.0,8360,546,67
426,0,92.0,8099,70,0
427,0,93.0,8184,7,0
428,0,92.0,8096,0,0
429,0,92.0,8280,92,88
430,0,92.0,33124,8622,8655
431,0,92.0,8712,676,181
432,0,92.0,8544,552,127
433,0,92.0,8091,1199,533
434,0,93.0,8460,627,91
435,0,92.0,33124,9120,9056
436,0,91.0,33124,9706,9665
437,0,91.0,8360,2688,2679
438,0,92.0,8160,2750,2731
439,0,92.0,8188,2566,2537
440,0,92.0,33124,9411,9408
441,0,92.0,33124,10324,10165
442,0,91.0,8281,0,0
443,0,93.0,8277,193,159
444,0,93.0,8463,0,0
445,0,92.0,8360,1478,1461
446,0,92.0,8184,1110,1009
447,0,92.0,8448,757,263
448,0,92.0,8272,312,50
449,0,92.0,8455,129,0
450,0,93.0,8366,0,0
451,0,92.0,8360,1247,1148
452,0,92.0,8544,1181,1097
453,0,92.0,8544,1239,1071
454,0,92.0,33124,8662,8684
455,0,92.0,8730,434,94
456,0,92.0,33124,9520,9369
457,0,92.0,8277,3050,3040
458,0,92.0,8352,3098,3088
459,0,93.0,7920,2605,2595
460,0,92.0,8428,649,497
461,0,93.0,8536,310,25
462,0,93.0,8352,32,0
463,0,93.0,8265,2,0
464,0,93.0,8280,0,0
465,0,93.0,9078,712,618
466,0,92.0,8360,1685,1674
467,0,92.0,8272,1206,1002
468,0,93.0,8544,1026,718
469,0,93.0,8460,761,158
470,0,93.0,8730,431,244
471,0,93.0,9672,1478,1396
472,0,92.0,33124,8845,8771
473,0,92.0,8084,698,105
474,0,92.0,8428,1002,710
475,0,92.0,8170,1450,645
476,0,93.0,8536,1129,714
477,0,93.0,8976,2170,1846
478,0,93.0,8190,3314,3232
479,0,93.0,8096,3066,3040
480,0,93.0,8455,1632,1555
481,0,93.0,8455,1315,1271
482,0,93.0,8360,860,342
483,0,93.0,8170,692,213
484,0,93.0,8272,179,0
485,0,93.0,8277,14,0
486,0,93.0,8460,2617,2576
487,0,93.0,8366,2251,2225
488,0,92.0,8640,1987,1960
489,0,92.0,8372,1556,1518
490,0,93.0,33124,9394,9373
491,0,93.0,33124,9808,9382
492,0,92.0,8640,2018,1986
493,0,92.0,8075,1932,1601
494,0,92.0,8536,1875,1850
495,0,93.0,6000,2036,2032
496,0,93.0,8004,1675,1425
497,0,92.0,8277,1875,1813
498,0,92.0,7917,3004,2950
499,0,93.0,8096,2819,2807
500,0,93.0,8928,1440,1073
501,0,93.0,8178,2153,1989
502,0,93.0,8265,1681,1651
503,0,93.0,8272,1315,1287
504,0,93.0,5328,1978,1967
505,0,93.0,8455,432,67
506,0,93.0,33124,9798,9760
507,0,91.0,8455,2698,2676
508,0,92.0,8455,2567,2525
509,0,92.0,33124,8928,8914
510,0,93.0,8544,1218,1172
511,0,93.0,8265,896,425
512,0,93.0,9306,1409,1320
513,0,93.0,8184,2515,2492
